selectivity,mult,query_idx,recall_at_k,completeness_at_k,candidates,lat_p50_ms
0.4993837051645507,1,0,0.5,0.5,10,3.8029220304451883
0.4993837051645507,2,0,1.0,1.0,20,3.8825320079922676
0.4993837051645507,5,0,1.0,1.0,50,4.091588954906911
0.4993837051645507,10,0,1.0,1.0,100,4.405114043038338
0.4993837051645507,20,0,1.0,1.0,200,4.835499974433333
0.4993837051645507,50,0,1.0,1.0,500,6.258827983401716
0.4993837051645507,100,0,1.0,1.0,1000,10.074563964735717
0.4993837051645507,1,1,0.4,0.4,10,4.027037008199841
0.4993837051645507,2,1,0.9,0.9,20,4.058847029227763
0.4993837051645507,5,1,1.0,1.0,50,4.0905370260588825
0.4993837051645507,10,1,1.0,1.0,100,4.180337011348456
0.4993837051645507,20,1,1.0,1.0,200,4.82937804190442
0.4993837051645507,50,1,1.0,1.0,500,7.120502996258438
0.4993837051645507,100,1,1.0,1.0,1000,11.626377003267407
0.4993837051645507,1,2,0.8,0.8,10,4.090287024155259
0.4993837051645507,2,2,1.0,1.0,20,4.0068080415949225
0.4993837051645507,5,2,1.0,1.0,50,4.382840008474886
0.4993837051645507,10,2,1.0,1.0,100,4.464736033696681
0.4993837051645507,20,2,1.0,1.0,200,5.060135968960822
0.4993837051645507,50,2,1.0,1.0,500,6.632086995523423
0.4993837051645507,100,2,1.0,1.0,1000,10.847510013263673
0.4993837051645507,1,3,1.0,1.0,10,4.090928006917238
0.4993837051645507,2,3,1.0,1.0,20,4.156311973929405
0.4993837051645507,5,3,1.0,1.0,50,4.291477962397039
0.4993837051645507,10,3,1.0,1.0,100,4.463573975954205
0.4993837051645507,20,3,1.0,1.0,200,4.842331982217729
0.4993837051645507,50,3,1.0,1.0,500,7.220431987661868
0.4993837051645507,100,3,1.0,1.0,1000,11.496951978188008
0.4993837051645507,1,4,0.7,0.7,10,4.032125987578183
0.4993837051645507,2,4,0.8,1.0,20,4.22518199775368
0.4993837051645507,5,4,0.8,1.0,50,4.0603100205771625
0.4993837051645507,10,4,0.8,1.0,100,4.369596019387245
0.4993837051645507,20,4,1.0,1.0,200,5.0527320127002895
0.4993837051645507,50,4,1.0,1.0,500,7.43707298533991
0.4993837051645507,100,4,1.0,1.0,1000,11.618440970778465
0.4993837051645507,1,5,0.5,0.5,10,3.8548600277863443
0.4993837051645507,2,5,1.0,1.0,20,3.7682660040445626
0.4993837051645507,5,5,1.0,1.0,50,4.031113989185542
0.4993837051645507,10,5,1.0,1.0,100,4.29498398443684
0.4993837051645507,20,5,1.0,1.0,200,4.7086289850994945
0.4993837051645507,50,5,1.0,1.0,500,6.108252971898764
0.4993837051645507,100,5,1.0,1.0,1000,9.423288982361555
0.4993837051645507,1,6,0.5,0.5,10,3.979667031671852
0.4993837051645507,2,6,0.9,1.0,20,4.036475031170994
0.4993837051645507,5,6,0.9,1.0,50,4.323278029914945
0.4993837051645507,10,6,0.9,1.0,100,4.294382990337908
0.4993837051645507,20,6,0.9,1.0,200,4.696756019257009
0.4993837051645507,50,6,1.0,1.0,500,6.652173993643373
0.4993837051645507,100,6,1.0,1.0,1000,11.073848989326507
0.4993837051645507,1,7,0.3,0.3,10,4.082682018633932
0.4993837051645507,2,7,0.9,1.0,20,4.040971980430186
0.4993837051645507,5,7,0.9,1.0,50,4.062723950482905
0.4993837051645507,10,7,0.9,1.0,100,4.308269999455661
0.4993837051645507,20,7,0.9,1.0,200,5.060816009063274
0.4993837051645507,50,7,1.0,1.0,500,7.458062958903611
0.4993837051645507,100,7,1.0,1.0,1000,12.172241986263543
0.4993837051645507,1,8,0.4,0.4,10,3.785257984418422
0.4993837051645507,2,8,0.9,0.9,20,3.9466439629904926
0.4993837051645507,5,8,0.9,1.0,50,4.0604600217193365
0.4993837051645507,10,8,0.9,1.0,100,4.263515002094209
0.4993837051645507,20,8,1.0,1.0,200,4.830029036384076
0.4993837051645507,50,8,1.0,1.0,500,7.748564006760716
0.4993837051645507,100,8,1.0,1.0,1000,12.92186399223283
0.4993837051645507,1,9,0.5,0.5,10,3.995095961727202
0.4993837051645507,2,9,0.8,0.9,20,3.8957969518378377
0.4993837051645507,5,9,0.8,1.0,50,4.000846995040774
